,AGENCY,ADDRESS,CONTACT PERSON,FAX,TELEPHONE,SPECIALIZATION,WEBSITE,MOBILE,EMAIL,ABOUT
24,,Sundale Vacations Pvt. Ltd (ACT - 222),,,,,,,,
25,,"39/5955A, Atlantis Jn. M.G. Road ,Cochin,,Kerala(682015)",,,,,,,,
26,,Seasonal Trip (ACT - 973),,,,,,,,
27,,"Room No. 49, 1st Floor, D.D. Corner Stone Kadavanthra Jn ,Kochi,Kerala(682020)",,,,,,,,
28,,Princy Travels (ACT - 507),,,,,,,,
29,,"Near Town Hall Ernakulam North Kochi ,Kochi,Kerala(682018)",,,,,,,,
30,,Kerala Holidays Pvt. Ltd. (ACT - ),,,,,,,,
31,,"CC-29 / 1706 G Christiya Sangam Building, 2nd Floor, Above Bread World, NH By Pass Thykoodam, Vyttila ,Kochi,,Kerala(682020)",,,,,,,,
32,,Kerala Holiday Mart (ACT - 746),,,,,,,,
33,,"Cheramel Building Sreekandath Road Ernakulam South ,Kochi,Kerala(682016,)",,,,,,,,
34,,Intersight Holidays (P) Ltd. (ACT - 225),,,,,,,,
35,,"Anna Building N H By Pass Thykoodam Vyttila ,Kochi,,Kerala()",,,,,,,,
36,,Sand Pebbles Tour N Travels (I) Pvt. Ltd. (ACT - 357),,,,,,,,
37,,"M-5/17, Acharya Vihar ,Bhubaneswar,Orissa(751013)",,,,,,,,
38,,Plaisir Hospitality Services (ACT - 958),,,,,,,,
39,,"Off.No.1 A Wing Star Premier I Indralok Phase 6, Bhayander-E ,Thane,Maharashtra(401105)",,,,,,,,
40,,Cholan Tours Pvt. Ltd. (ACT - 885),,,,,,,,
41,,"No.4 Annai Avenue Vasanth Nagar Extn Kollidarakara Srirangam ,Trichy,Tamil Nadu(620006)",,,,,,,,
42,,Amar Tours & Travels Pvt. Ltd. (ACT - 919),,,,,,,,
43,,"55/28 Sreerangapalayam Main Road, Komarasamypatty ,Salem,Tamil Nadu(636007)",,,,,,,,
44,,Shree Harshil Tours & Travels (ACT - 886),,,,,,,,
45,,"3 Shukra Building, Diamond Market Gaushala Lane, Off Daftary Road Malad East ,Mumbai,Maharashtra(400097)",,,,,,,,
46,,Emperor Traveline (ACT - 914),,,,,,,,
47,,"32 A Bashyakaralu Road R S Puram ,Coimbatore ,Tamil Nadu(641002)",,,,,,,,
48,,Shalimar Travels (ACT - 1135),,,,,,,,
49,,"10/3, Polo View, Residency Road ,Srinagar,Jammu and Kashmir()",,,,,,,,
50,,NivalinkTours&TravelsPvt.Ltd. (ACT - 448),,,,,,,,
51,,"A-501, Neelkanth Business Park, Next to Vidyavihar Station(W) ,Mumbai,Maharashtra( 400086)",,,,,,,,
52,,T.Z.Enterprises (P) Ltd. (ACT - 1064),,,,,,,,
53,,"52 Pael Nagar Mint House Nadesar ,Varanasi,Uttar Pradesh()",,,,,,,,
54,,Peaks Travels (ACT - 1128),,,,,,,,
55,,"Room No. 08, 2nd FloorGolden Plaza, Umer Abad HMT ,Srinagar,,Jammu and Kashmir()",,,,,,,,
56,,Compact Travels Pvt. Ltd. (Namaste Tourism) (ACT - 1116),,,,,,,,
57,,"3/35 Kamal Mansion, Arthur Bunder Road Colaba , Mumbai,Maharashtra(400005)",,,,,,,,
58,,Mykind Vacations Pvt. Ltd. (ACT - 835),,,,,,,,
59,,"432, Logix Technova, Sector-132 ,Noida,Uttar Pradesh(201301)",,,,,,,,
60,,Bharat Booking Holidays (P)Ltd. (ACT - 1140),,,,,,,,
61,,"2nd Floor, Govind Complex, Near Mayur Restaurant, Mall Road ,Manali,Himachal Pradesh(175131)",,,,,,,,
62,,Synergy Hotels & Resorts Pvt. Ltd (Allied - 878),,,,,,,,
63,,"208 Devpath B/h SupermallNear Lal Bungalow OffC G Road ,Ahmedabad,Gujarat()",,,,,,,,
64,,Gayatri Travels (Allied - 937),,,,,,,,
65,,"Plot No.160, Opp.Nigam Petrol Pump Sector 21 ,Gandhinagar,Gujarat(382021)",,,,,,,,
66,,Vinayaka Tourism Pvt. Ltd. (ACT - 733),,,,,,,,
67,,"PS Srijan Corporate Park Plot No. G 2, Block EP & GP Unit 1811 18th floor, Tower1, Sector V Salt lake ,Kolkata,West Bengal(700091)",,,,,,,,
68,,Moovers Holidays Pvt. Ltd. (ACT - 884),,,,,,,,
69,,"3/817 Muchala Street, Navapura, Near Masjid e Mozzam ,Surat,Gujarat(395003)",,,,,,,,
70,,Coral Education Pvt. Ltd. (Allied - 1057),,,,,,,,
71,,"C 603 Titanium Square, Thaltej Cross Roads Thaltej , Ahmedabad,Gujarat(380059)",,,,,,,,
72,,Freedom Holidays Pvt. Ltd. (Allied - 1093),,,,,,,,
73,,"Off.No.6 (3rd floor) Near KTC Bus Stand Patto Centre Building , Panaji,Goa(403001)",,,,,,,,
74,,Ventura Holidays Pvt. Ltd. (ACT - 997),,,,,,,,
75,,"609, Venus Atlantis Corporate Park, Prahaladnagar ,Ahmedabad,Gujarat(380015)",,,,,,,,
76,,Travel Exultant (ACT - 1132),,,,,,,,
77,,"702 Sun Square, Besides the Regenta Central Antarim Hotel, Off C G Road ,Ahmedabad,Gujarat(380009)",,,,,,,,
78,,Visa Dea (Allied - 1139),,,,,,,,
79,,"F-4, 1st Floor, DDA Market, New Rajdhani Enclave , Preet Vihar,Delhi(110092)",,,,,,,,
80,,Musafirana Dot Com (ACT - 1127),,,,,,,,
81,,"2/90 Sree Colony P.O. Regent ,Kolkata,West Bengal(700092)",,,,,,,,
82,,Manasarovar Tours & Travels (ACT - 1129),,,,,,,,
83,,"8/20 Naskar Para Lane Anyesha Apt. 3rd Floor ,Kolkata,West Bengal( 700031)",,,,,,,,
84,,My Pleasure Holidays (ACT - 1131),,,,,,,,
85,,"511 Ashwamegh Elegance Beside Kalyan Jewellers, Bhadurpura Road Ambawadi,Ahmedabad,Gujarat(380015)",,,,,,,,
86,,Vayudoot World Travels India Pvt. Ltd (Allied - 954),,,,,,,,
87,,"4614-16 Main Road, Pahari Dhira ,Sadar Bazar,Delhi(110006)",,,,,,,,
88,,JNR Globetrotters Pvt.Ltd. (ACT - 891),,,,,,,,
89,,"102-103, Abhiraj Complex 68/B, Swastik Society Office, CG Road Navarangpura ,Ahmedabad,Gujarat(380001)",,,,,,,,
90,,Mysha India Services Pvt. Ltd. (Allied - 952),,,,,,,,
91,,"Tower B4, Office No.9C Ground floorSpaze ITECH Park, Sector 49 Sohna Road ,Gurgaon,Haryana()",,,,,,,,
92,,Gujarat Trails Pvt. Ltd. (ACT - 923),,,,,,,,
93,,"310, Ratna Business Square (RBS), Opp. H.K. College, Near Handloom House, Ashram Road ,Ahmedabad,Gujarat(380001)",,,,,,,,
94,,Ava Vacations Pvt. Ltd. (Allied - 1136),,,,,,,,
95,,"LGF - G9, Sushant Shopping Acrcade ,Gurgaon,Haryana()",,,,,,,,
96,,Travel Land (Allied - 897),,,,,,,,
97,,"14 A Factory Road, D Block Basement Near ,Safdarjung Hospital,Delhi(110029)",,,,,,,,
98,,Wind OZ (ACT - 963),,,,,,,,
99,,"Sahid Bagat Singh Commercial Market Complex 1st Floor, Stall No.R1-1 & R1-2 ,Siliguri,West Bengal(734001)",,,,,,,,
100,,Travel Shop (ACT - 658),,,,,,,,
101,,"15, Trionara Apartment, Dr Alvares Costa Road ,Panaji,Goa(403001)",,,,,,,,
102,,Dirghayu Farms Agri Resort Pvt. Ltd. (Allied - 941),,,,,,,,
103,,"203/204 Raikar Chambers, Govandi (E) ,Mumbai,Maharashtra(400088)",,,,,,,,
104,,Top Very Best Travel Private Limited (Allied - 953),,,,,,,,
105,,"Sharda Fortune Tower, 198/2/1 Fourth Floor Ramesh Market, East of Kailash,Delhi(110065)",,,,,,,,
106,,Virtual Holidays Private Ltd. (ACT - 933),,,,,,,,
107,,"202, 2nd floor Ansal Vikasdeep Building District Center, Laxmi Nagar Near Nirman Vihar Metro Station ,New Delhi,Delhi(110092 )",,,,,,,,
108,,Tanisha Travel Links Pvt. Ltd. (Allied - 1009),,,,,,,,
109,,"5/9 Gurunanak Complex, Shop No. 9, Sarawasti Complex, WEA, Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
110,,Virtu Hospitality (ACT - 428),,,,,,,,
111,,"505-507, 5th floor, DLF Commercial Complex, Greater Kailash II ,New Delhi,Delhi(110048)",,,,,,,,
112,,Magellan Vacations Pvt. Ltd. ( - 1126),,,,,,,,
113,,"Surama Niwas, B.M. Sarani, Mahananda Para ,Silliguri,West Bengal(734001)",,,,,,,,
114,,Pulari Gardens Tourist Resorts (Allied - 909),,,,,,,,
115,,"Kairali Nagar, P.O. Varkala ,Thiruvananthapuram,Kerala(695141)",,,,,,,,
116,,Vdoit4U Event Management Pvt. Ltd. (ACT - 927),,,,,,,,
117,,"F 124 Ground floor, Mohammadpur ,New Delhi,Delhi(110066)",,,,,,,,
118,,Sterling Holiday Resorts Limited (Allied - 1052),,,,,,,,
119,,"C 1 lst floor, Above Union Bank Green Park Extension ,New Delhi,Delhi(110016)",,,,,,,,
120,,Voyages Kerala (Allied - 315),,,,,,,,
121,,"Krishna, TC 36/1912, ENRA 109Near Pump House Enjakkal JunctionVallakkadavu ,Trivandrum,Kerala(695008)",,,,,,,,
122,,Hotel Maharani Pvt. Ltd (Allied - 293),,,,,,,,
123,,"Hotel Maharani Taluk Road ,Kozhikode,,Kerala()",,,,,,,,
124,,Aakash Agritec â Ananda Valley (Allied - 942),,,,,,,,
125,,"10/11 Aditya Shagun Mall,Lower Ground Floor,NDA Road, Baudhan, ,Pune,Maharashtra(411021)",,,,,,,,
126,,EastWindHolidayToursPvt.Ltd. (ACT - 380),,,,,,,,
127,,"8th floor Flat No.5 Chatterjee Int.Centre 33A J.L.Nehru Road ,Kolkata,West Bengal(6369 )",,,,,,,,
128,,Sagar Travels (Allied - 647),,,,,,,,
129,,"OF 6, Odeon Plaza, Plot No.2, Sector 6 1st floor, Central Market, Dwaraka ,New Delhi,Delhi(110075)",,,,,,,,
130,,Sagar Resorts (Allied - 010),,,,,,,,
131,,"UG 47, Somdutt Chambers II 9 Bhikaji Cama Place,New Delhi,Delhi( 110066)",,,,,,,,
132,,Continental Travels (ACT - 1130),,,,,,,,
133,,"172, Lenin Sarani ,Kolkata,West Bengal(700013)",,,,,,,,
134,,Travel on Wheel (Allied - 791),,,,,,,,
135,,"G 5 GF, Eldeco Green MeadowsSector Pie-one, ,Greater Noida,Uttar Pradesh(201308)",,,,,,,,
136,,Travel Mate India (ACT - 928),,,,,,,,
137,,"E 4, Defence Colony ,New Delhi,Delhi(110024)",,,,,,,,
138,,Travel Delight (ACT - 929),,,,,,,,
139,,"16 NWA, Club Road Market, Punjabi Bagh ,New Delhi,Delhi(110026)",,,,,,,,
140,,Quick O City (Allied - 794),,,,,,,,
141,,"24 Panchanantala Road ,Howrah,West Bengal(711101)",,,,,,,,
142,,Superb Travel Desire Pvt. Ltd. (ACT - 836),,,,,,,,
143,,"311, 3rd floor Prakashdeep Building, Tolstoy Road, Connaught Place ,New Delhi,Delhi(110001)",,,,,,,,
144,,Creative Vacation Holidays (Allied - 1137),,,,,,,,
145,,"169/2C, Vasundhara, ,Ghaziabad,,Uttar Pradesh()",,,,,,,,
146,,Shine India Holidays Pvt. Ltd. (ACT - 962),,,,,,,,
147,,"302, Verdman Dee Cee Plaza, Plot No.,06 Sector 11, Dwarka ,New Delhi,Delhi(110075)",,,,,,,,
148,,Skywalk Travels (ACT - 1123),,,,,,,,
149,,"8A-11 Pul Pehladpur, Main Surajkund Road ,New Delhi,Delhi(110044)",,,,,,,,
150,,Naswiz Retails Pvt. Ltd. (Allied - 1084),,,,,,,,
151,,"810 Krishna Apra Business Square Netaji Subhash Place, Pitampura ,New Delhi,Delhi(110034)",,,,,,,,
152,,Travellers Club & Holidays (Allied - 1005),,,,,,,,
153,,"4, Rabindra Sarani, 1st floor, Opp. Lalbazar PostOffice ,Kolkatta,West Bengal(700001)",,,,,,,,
154,,Jumpin Adventures Pvt. Ltd. (Allied - 908),,,,,,,,
155,,"Tapovan Badrinath Road, Nr.Tapovan PoliceChowki,Rishikesh,Uttaranchal(249201)",,,,,,,,
156,,Rising Star Tours & Travels (ACT - 559),,,,,,,,
157,,"Suite No.112, Durga Lane L S C DDA Market, Pocket B Ashok Vihar Phase III ,New Delhi,Delhi(110052)",,,,,,,,
158,,Estuarine Village Resort (Allied - 998),,,,,,,,
159,,"Flat No.S-4, 2nd Floor, Plot No.126A Patparganj Village ,Mayur Vihar, Phase-1,Delhi(110091)",,,,,,,,
160,,Redrose Tours & Travels Pvt. Ltd. (ACT - 516),,,,,,,,
161,,"503,5th floor Pearls Omaxe Power - 1 Netaji Subhash Place, Pitampura ,New Delhi,Delhi(110034)",,,,,,,,
162,,Manmeet Travels (ACT - 1011),,,,,,,,
163,,"H 28, 1st floor, Main Market, Rajouri Garden ,New Delhi,Delhi(110027)",,,,,,,,
164,,KDH Travels Pvt. Ltd. (ACT - 700),,,,,,,,
165,,"N 63, Kirti Nagar ,New Delhi,Delhi(110015)",,,,,,,,
166,,Japmeet Holidays (ACT - 1053),,,,,,,,
167,,"Shop No.29, Palika Place, Annexe Punchkuian Road ,New Delhi,Delhi(110001)",,,,,,,,
168,,Bright India Holidays (Allied - 1056),,,,,,,,
169,,"H7/204 Aggarwal Plaza, Netaji Subhash Place ,New Delhi ,Delhi(110034)",,,,,,,,
170,,Aspen Adventures Pvt. Ltd. (Allied - 1061),,,,,,,,
171,,"215 Best Arcade Complex Pocket 6 Sector 12 ,Dwarka,Delhi(110075)",,,,,,,,
172,,Golden Phoenix Travel Pvt. Ltd. (ACT - 1124),,,,,,,,
173,,"5/201 Sikka Complex Preet Vihar Community Center ,New Delhi,Delhi(110092)",,,,,,,,
174,,Global Connect Travels Pvt. Ltd. (ACT - 1054),,,,,,,,
175,,"221-223 2nd floor, Jaina Tower 1, District Centre, Janakpuri ,New Delhi,Delhi(110058)",,,,,,,,
176,,Ajay Travels Pvt. Ltd. (Allied - 603),,,,,,,,
177,,"149, Bhagat Singh Market, Near Gole Market,New Delhi,Delhi( 110 001)",,,,,,,,
178,,Kerala Tourism Development Corpn. Ltd. (HONY - 146),,,,,,,,
179,,"Mascot Square ,Trivandrum,Kerala( 695033 )",,,,,,,,
180,,Andaman Beach Holidays (ACT - 1107),,,,,,,,
181,,"108 Taimoor Nagar, New Friends Colony ,New Delhi,Delhi(110065)",,,,,,,,
182,,Aadhyaa Travels Pvt.Ltd. (ACT - 1055),,,,,,,,
183,,"JD 23B Gate No.3, Ashiana Chowk Near Metro Pillar No.357, Pitampura,New Delhi,Delhi(110088)",,,,,,,,
184,,Travel Span (Select Category - ),,,,,,,,
185,,"5335, Jawahar Nagar, Kolhapur Road ,New Delhi,Delhi( 110007)",,,,,,,,
186,,Sampan Media Pvt. Ltd. (HONY - 662),,,,,,,,
187,,"124 (3rd floor) Shahpur Jat ,delhi,Delhi(110049)",,,,,,,,
188,,Holiday Junction (Allied - 1021),,,,,,,,
189,,"8 Sona Tower, Opp.Deshbhandu Press Agrasen Chowk, ,Raipur,Chhattisgarh(492001)",,,,,,,,
190,,Travel Hawk (ACT - 1033),,,,,,,,
191,,"405 2nd floor, SLT Water Front Complex G.E.Road, Telibandha, ,Raipur,Chhattisgarh(492000)",,,,,,,,
192,,Saranya Tours (Allied - 1088),,,,,,,,
193,,"D.No.6-2-38, D.L. Road, Hindupur, Anantpur Dist.,Hindupur,Andhra Pradesh(515201)",,,,,,,,
194,,HEIGHTS & SIGHTS (ACT - 495),,,,,,,,
195,,"F/204 Kunj Plaza Near Polo Club Rajmahel Road ,Vadodara ,Gujarat(390001 )",,,,,,,,
196,,Centour Travel Services (ACT - 224),,,,,,,,
197,,"98, Gayatri Chambers,1st Floor Alkapuri,,Baroda, ,Vadodara,Gujarat()",,,,,,,,
198,,Sai Holidays (Allied - 1085),,,,,,,,
199,,"Ascon Plaza, Adajan,Surat ,Gujarat(395009)",,,,,,,,
200,,Nice Travels (Allied - 989),,,,,,,,
201,,"12/576 Ground Floor, Gheewala ChambersOpp. Union High SchoolLal Gate, Chakkarpir Lane,Surat ,Gujarat(395003)",,,,,,,,
202,,M.P.Holidays (ACT - 985),,,,,,,,
203,,"401 Citylight shopping Centre ,Surat ,Gujarat(395007)",,,,,,,,
204,,Make My Holidays (ACT - 288),,,,,,,,
205,,"L-20, Jolly Plaza, Near Girls Polytechnic College ,Surat,Gujarat(395001 )",,,,,,,,
206,,Transglobe Travels (ACT - 983),,,,,,,,
207,,"Opp.Kings Land Tower ,Rajkot,Gujarat(360005)",,,,,,,,
208,,Dishan Holidays Pvt. Ltd (ACT - 713),,,,,,,,
209,,"F 60-62 Vimal Super Market (Apna Bazaar) ,Mehsana ,Gujarat(384002)",,,,,,,,
210,,Height & Sight Holidays (Allied - 845),,,,,,,,
211,,"Near Swami Narayan Temple ,Bhuj ,Gujarat( 370001)",,,,,,,,
212,,Windex Tour & Travels (ACT - 881),,,,,,,,
213,,"201 Shakti 21 Mansi Road Vastrapur ,Ahmedabad ,Gujarat()",,,,,,,,
214,,Royal Safari Camp (ACT - 997),,,,,,,,
215,,"Tamir Plaza Near Universal Steel Sarkhej Road ,Ahmedabad ,Gujarat()",,,,,,,,
216,,RHS Holidays (Add Category - ),,,,,,,,
217,,"104 Banker House Nr.Golden Triangle Stadium Road Navrangpura ,Ahmedabad ,Gujarat()",,,,,,,,
218,,Om Holidays (ACT - 456),,,,,,,,
219,,"A/1 Sarita Darshan Opp.Jaihind Press Ashram Road ,Ahmedabad,Gujarat()",,,,,,,,
220,,Travel Designer (ACT - 550),,,,,,,,
221,,"603, Samudra Annexe, Nr.Hotel Klassic Gold Off C.G.Road ,Ahmedabad,Gujarat(380006 )",,,,,,,,
222,,Starline Hospitality Services (Allied - 792),,,,,,,,
223,,"208 Devpath B/h Supermall Near Lal Bungalow Off ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
224,,Shrinath Travel Agency Pvt.Ltd. (Allied - 1037),,,,,,,,
225,,"G Floor, Sahajanand Park Shahibaug Road Shahibaug ,Ahmedabad ,Gujarat(380004)",,,,,,,,
226,,Shakti Travels (ACT - 686),,,,,,,,
227,,"4th floor Shukan Complex ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
228,,Rao Travel Services (ACT - 1051),,,,,,,,
229,,"A-3 Harishchandra Park Society,Ahmedabad ,Gujarat(380013)",,,,,,,,
230,,Pinks Travels (ACT - 1026),,,,,,,,
231,,"205 Shrenik Avenue Nr.Narangpura Police Chowky ,Ahmedabad ,Gujarat(380013)",,,,,,,,
232,,Pelican Tours (ACT - 1012),,,,,,,,
233,,"304 rd floor, Maruti Skand Anand Vidyanagar Road ,Anand ,Gujarat()",,,,,,,,
234,,Mystic Gujarat Tour (ACT - 1025),,,,,,,,
235,,"17 Chinubhai TowersNr.H.K.College Ashram Road ,Ahmedabad,Gujarat(380009)",,,,,,,,
236,,Medora Travels (ACT - 638),,,,,,,,
237,,"167 Sunrise Park Opp.Drive in Cinema ,Ahmedabad ,Gujarat(380054 )",,,,,,,,
238,,Hetal Tours (Allied - 1062),,,,,,,,
239,,"6 Shravaknagar Near Gujrat VidhyapithUsmanpura ,Ahmedabad ,Gujarat(380014)",,,,,,,,
240,,Harsh Travels (ACT - 287),,,,,,,,
241,,"403, Aryan Work Space , Opp. Zodiac Plaza St. Xaviers College Corner Navrangpura ,Ahemdabad ,Gujarat(380001)",,,,,,,,
242,,Gujarat Tour & Travels Organizer (ACT - 883),,,,,,,,
243,,"C 202 Supath II Near St.Laurn Hotel ,Ahmedabad ,Gujarat(380013 )",,,,,,,,
244,,Good Wind Holidays (Allied - 637),,,,,,,,
245,,"22 Aniket Near Municipal Market Navrangpura ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
246,,Garha Tours & Travels (ACT - 310),,,,,,,,
247,,"425/D Super Mall, Nr. Navrangpura Telephone ,Ahmedabad,Gujarat()",,,,,,,,
248,,Flamingo Transworld Pvt.Ltd. (ACT - 481),,,,,,,,
249,,"201/202 Gala Business Center ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
250,,Birla Tourist & Transport Services (ACT - 1066),,,,,,,,
251,,"Shop No.427 Titanium City Center Mall Anand Nagar Road, Satellite ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
252,,Altius Travels Pvt.Ltd (ACT - 873),,,,,,,,
253,,"1 Mudra Apartments Near Stadium Petrol Pump ,Ahmedabad ,Gujarat(380014 )",,,,,,,,
254,,All Four Season Holidays (ACT - 585),,,,,,,,
255,,"51 Sardar Patel Nagar B/H Navrangpura Telephone Exchange ,Ahmedabad ,Gujarat(380006 )",,,,,,,,
256,,Assured Hospitality Services Pvt.Ltd. (Allied - 690),,,,,,,,
257,,"A/104 Rajshree Avenue Near Dinesh Hall B/H.Dinesh ,Ahmedabad ,Gujarat(380009 )",,,,,,,,
258,,A to Z Holidays (ACT - 1043),,,,,,,,
259,,"F 112, Titanium City Centre, Next to Sachin Tower, Prahalad Nagar Road, Satellite,Ahmedabad ,Gujarat(380015)",,,,,,,,
260,,360 Degree Travel Concierge LLP (ACT - 1108),,,,,,,,
261,,"702 Venus Atlantis Besides Shell Petrol Pum ,Ahmedabad,Gujarat()",,,,,,,,
262,,Jai Travels (Allied - 750),,,,,,,,
263,,"402 (4th floor) Modi Hight, Ratu Road ,Ranchi,Jharkhand(834001 )",,,,,,,,
264,,Ramshehar Fort Resort (Abhimanu Adventure Resorts Pvt.Ltd.) (Allied - 1102),,,,,,,,
265,,"Dainik Baskar Building (2nd floor) ,Solan,Himachal Pradesh(160014)",,,,,,,,
266,,Mountain Mysteries (ACT - 1091),,,,,,,,
267,,"Gupta Niwas, Ground floor Vikas Nagar,Shimla,Himachal Pradesh(171005)",,,,,,,,
268,,Himachal Holidays Pvt.Ltd. (ACT - 814),,,,,,,,
269,,"Village & Post Office Khakhnal ,Manali,Himachal Pradesh(175143)",,,,,,,,
270,,Vyoma Travels & Logistic Pvt.Ltd. (AFF - 486),,,,,,,,
271,,"No.16; 2nd floor, EDC Complex, Patto Centre, ,Panjim ,Rajasthan(403001 )",,,,,,,,
272,,First Class Holidays (Allied - 675),,,,,,,,
273,,"20 Navelcar Trade Centre (4th floor) M.G.Road ,Panjim ,Rajasthan(403001 )",,,,,,,,
274,,Rajasthan Routes Trails Pvt.Ltd. (ACT - 924),,,,,,,,
275,,"401 (4th floor) City Corporate ,jaipur,Rajasthan(302001)",,,,,,,,
276,,Rajputana Holiday Makers (ACT - 534),,,,,,,,
277,,"207 Ganesham Tower Amrapali Marg Vaishali Nagar ,Jaipur ,Rajasthan(302021 )",,,,,,,,
278,,Sterling Vacations Pvr.Ltd. (ACT - 823),,,,,,,,
279,,"2/1C Rail Vihar II Sector 9 Vidyadhar Nagar ,Jaipur ,Rajasthan(302039 )",,,,,,,,
280,,The Raj Palace (Allied - 719),,,,,,,,
281,,"Zorawar Singh Gate Amber Road ,Jaipur ,Rajasthan()",,,,,,,,
282,,Vasundhra Holidays (ACT - 979),,,,,,,,
283,,"131, Janak Marg, Officers Campus, Sirsi Road, Vaishali Nagar ,Jaipur,Rajasthan(302012)",,,,,,,,
284,,Khanna Tours & Travels (ACT - 596),,,,,,,,
285,,"Plot No 300 Laxmi Nagar Paota Road ,Jodhpur ,Rajasthan(342006)",,,,,,,,
286,,Hadoti Travels (ACT - 882),,,,,,,,
287,,"G 12 Vinayak Complex Nayapura ,Kota ,Rajasthan(324001)",,,,,,,,
288,,Indian Hideaways (ACT - 1079),,,,,,,,
289,,"39 Fatehpura, Near RK House 2nd floor ,Udaipur ,Rajasthan(313001)",,,,,,,,
290,,Vinayak Holidays (ACT - 597),,,,,,,,
291,,"207 (IInd floor) Business Centre I C Madhubhan,Udaipur ,Rajasthan(313001)",,,,,,,,
292,,Rajasthan Four Wheel Drive Pvt.Ltd. (Allied - 339),,,,,,,,
293,,"1-A Fateh Nagar, Surya Nagar Taroon Ki-Koot, Tonk Road Jaipur, ,jaipur,Rajasthan(2722025 )",,,,,,,,
294,,Rainbow Vacations (P) Ltd. (ACT - 256),,,,,,,,
295,,"Office No.108 Geetanjali Towers Opp. Dr. Vyas Hospital Ajmer Road,jaipur,Rajasthan(302006 )",,,,,,,,
296,,Pachar Group Hotels (Allied - 936),,,,,,,,
297,,"Hari Mahal Palace Jacob Road Civil Lines ,jaipur,Rajasthan(302006)",,,,,,,,
298,,K.K. Holidays N Vacations (ACT - 251),,,,,,,,
299,,"83 Officers Campus Ext. Sirsi Road ,jaipur,Rajasthan( 302012)",,,,,,,,
300,,Hotel Park Ocean (ACT - 1119),,,,,,,,
301,,"39 A-4 Opp.Bhawani Niketan School ,jaipur,Rajasthan()",,,,,,,,
302,,Hotel Mahar Haveli (Allied - 427),,,,,,,,
303,,"17 Mahar House Inside Jorawar Singh Gate ,jaipur,Rajasthan()",,,,,,,,
304,,Hotel Shahpura House (Allied - 374),,,,,,,,
305,,"Shahpura House D 257 Devi Marg ,jaipur,Rajasthan(302016 )",,,,,,,,
306,,Hotel Clarks Inn (Allied - 843),,,,,,,,
307,,"Shanti Kunj, Alwar ,Jaipur,Rajasthan(301001 )",,,,,,,,
308,,Boutique Hotels India Pvt.Ltd. (Allied - 333),,,,,,,,
309,,"Ballupura Farms Village Jamdoli ,Jaipur ,Rajasthan(303012)",,,,,,,,
