,WEBSITE,PHONE,MOBILE,AGENCY,EMAIL,ADDRESS
85,http://tradekerala.in/11741/Appolo+Tours+%26+Travels/1,0471 2418358,,Appolo Tours & Travels,,Kuthiravattom Rd  695001
86,http://tradekerala.in/2747/Aries+Travel/1,0471 2330964,,Aries Travel,,Asawarya Building. Press Rd  695 001
87,http://tradekerala.in/17267/Aries+Travel/1,0471 2330964,,Aries Travel,,Asawarya Building. Press Rd  695 001
88,http://tradekerala.in/18853/Aristo+Travels/1,0471 2323622,,Aristo Travels,,Aristo Junction  Thampanoor 695001
89,http://tradekerala.in/11712/Asian+Tours+%26+Travels/1,0471 6453834,,Asian Tours & Travels,,Nr Sp Fort Hodpital  Thiruvananthapuram Fort  695023
90,http://tradekerala.in/19174/Asian+Travels/1,0471 2331150,,Asian Travels,,Aristo Jn.  Thampanoor  690001
91,http://tradekerala.in/15626/Asian+Travels/1,0471 2331150,,Asian Travels,,Aristo Jn.  Thampanoor  690001
92,http://tradekerala.in/19029/Aspin+Travels+Pvt+Ltd/1,0471 2324837,,Aspin Travels Pvt Ltd,,No.42/1237  Thampanoor   690001
93,http://tradekerala.in/11710/Aspin+Travels+Pvt+Ltd/1,0471 2324837,,Aspin Travels Pvt Ltd,,No.42/1237  Thampanoor  690001
94,http://tradekerala.in/19026/Astra+Tour+Company/1,0471 2462116,,Astra Tour Company,,Panamoodu Lane  695001
95,http://tradekerala.in/11709/Astra+Tour+Company/1,0471 2462116,,Astra Tour Company,,Panamoodu Lane  695001
96,http://tradekerala.in/19021/Attukal+Associates/1,0471 6543789,,Attukal Associates,,SNDP Building  Peroorkkada  695005
97,http://tradekerala.in/11708/Attukal+Associates/1,0471 6543789,,Attukal Associates,,SNDP Building  Peroorkkada  695005
98,http://tradekerala.in/19020/Aviation+Travels/1,0471 2330764,,Aviation Travels,,Panavila Jn   695001
99,http://tradekerala.in/11704/Aviation+Travels/1,0471 2330764,,Aviation Travels,,Panavila Jn  695001
100,http://tradekerala.in/19019/Ayyappa+Tours+%26+Travels/1,0471 2466603,,Ayyappa Tours & Travels,,No.Tc 38/2392  Udaya Building  Chalai  695036
101,http://tradekerala.in/11699/Ayyappa+Tours+%26+Travels/1,0471 2466603,,Ayyappa Tours & Travels,,No.Tc 38/2392  Udaya Building  Chalai  695036
102,http://tradekerala.in/10166/Asian+Tours+%26+Travels/1,0471 6453834,,Asian Tours & Travels,,Nr Sp Fort Hodpital  695023
103,http://tradekerala.in/2462/Akbar+Travels+of+India/8,0487 2507708,,Akbar Travels of India,,Chavakkad
104,http://tradekerala.in/2463/A+G+Travels/7,0484 2781958,,A G Travels,,Hospital Rd  Tripunithura 682301
105,http://tradekerala.in/12857/A+T+S+Cars/7,0484 2304150,,A T S Cars,,No.29/1 H  Ats Building  SA Rd  Vythila  682019
106,http://tradekerala.in/14053/A+T+Travels/7,0484 2791602,,A T Travels,,Arackathazthu House  Udayamperoor  682307
107,http://tradekerala.in/15165/A+T+Travels/7,0484 2791602,,A T Travels,,Arackathazthu House  Udayamperoor  682307
108,http://tradekerala.in/15156/ATS+Cars/7,0484 2302870,,ATS Cars,,29/1(4)  SA Road  Vyttila 682919
109,http://tradekerala.in/24454/Alleppy+Cruise+Tours+%26+Travels/7,+91 9447799512,,Alleppy Cruise Tours & Travels,,"Vyttila.,Ernakulam-682019.,"
110,http://tradekerala.in/24460/Anjali+Travels/7,+91 484 2668488,,Anjali Travels,,"Willingdon Island.,Ernakulam-682003.,"
111,http://tradekerala.in/24461/Arun+Travels/7,+91 484 2204782,,Arun Travels,,"Kadavanthra.,Ernakulam-682020.,"
112,http://tradekerala.in/24462/Ashadam+Travels/7,+91 484 2335233,,Ashadam Travels,,"Kaloor.,Ernakulam-682017.,"
113,http://tradekerala.in/24496/Ace+in+Tours+%26+Travels/7,+91 484 2358758,,Ace in Tours & Travels,,"Ravipuram.,Ernakulam-682015.,"
114,http://tradekerala.in/24497/Airtravel+Enterprises+India+Ltd/7,+91 484 3077444,,Airtravel Enterprises India Ltd,,"Rajaji Road.,Ernakulam-682035.,"
115,http://tradekerala.in/24498/Airway+Tours+%26+Travels/7,+91 484 2356874,,Airway Tours & Travels,,"Perumannur.,Ernakulam-683542.,"
116,http://tradekerala.in/24500/Amal+India+Travels/7,+91 484 2514455,,Amal India Travels,,"Varapuzha.,Ernakulam-683517.,"
117,http://tradekerala.in/24501/Alban+Travels+India+%28P%29+Ltd/7,+91 484 2370181,,Alban Travels India (P) Ltd,,"Pallimukku.,Ernakulam-682016.,"
118,http://tradekerala.in/24502/A-Planet+Holidays/7,+91 484 4022652,,A-Planet Holidays,,"Kadavanthra.,Ernakulam-682020.,"
119,http://tradekerala.in/24504/Athira+Holidays/7,+91 484 2306931,,Athira Holidays,,"Vyttila.,Ernakulam-682019.,"
120,http://tradekerala.in/24505/Atlanta+Travels+%28I%29+P+Ltd/7,+91 484 2384538,,Atlanta Travels (I) P Ltd,,"M.g Road.,Ernakulam-682016.,"
121,http://tradekerala.in/24506/Augustine++Lopez/7,+91 9446343425,,Augustine  Lopez,,"Jesus Cross Road.,Ernakulam-682023.,"
122,http://tradekerala.in/24507/Ayyappa+net+Sify+I+Way/7,+91 985022058,,Ayyappa net Sify I Way,,"Mattancherry.,Ernakulam-682002.,"
123,http://tradekerala.in/24798/Admiral+Travel+Bureau+India+Ltd/7,+91 484 2358811,,Admiral Travel Bureau India Ltd,,"Ravipuram.,Ernakulam.,Cochin-682016.,"
124,http://tradekerala.in/24799/Admiral+Travel+Bureau+India+Ltd/7,+91 484 2358811,,Admiral Travel Bureau India Ltd,,"Ravipuram.,Ernakulam.,Cochin-682016.,"
125,http://tradekerala.in/24800/Anna+Maria+Travels+%26+Tours+Pvt+Ltd/7,+91 484 2358763,,Anna Maria Travels & Tours Pvt Ltd,,"M.G Road.,Ravipuram.,Ernakulam.,Cochin-682016.,"
126,http://tradekerala.in/4317/Bharat+Tourist+Service/4,0477 2262262,,Bharat Tourist Service,,Jetty Rd
127,http://tradekerala.in/13604/Blue+Lagoon/4,0477 2260103,,Blue Lagoon,,Mullackal
128,http://tradekerala.in/4946/Benzy+Infotech+Pvt+Ltd/7,0484 3247974,,Benzy Infotech Pvt Ltd,,No.207  Travancore Towers  Kaloor  682017
129,http://tradekerala.in/4942/Betts+Travels/7,0484 2313948,,Betts Travels,,No.1764  Panampilly Nagar 682036
130,http://tradekerala.in/4941/Blitz+Tours+%26+Travels/7,0484 4051054,,Blitz Tours & Travels,,2Nd Floor 682018
131,http://tradekerala.in/11735/Best+Line+Travel+Enterprises/1,0472 2840071,,Best Line Travel Enterprises,,Nedumangadu  695541
132,http://tradekerala.in/18437/Baal+Tours+%26+Travels/1,0471 2722632,,Baal Tours & Travels,,No.Tc 9/345  Thikkurissy House  N St  Jawaharnagar  695041
133,http://tradekerala.in/11696/Baal+Tours%26+Travels/1,0471 2722632,,Baal Tours& Travels,,No.Tc 9/345  Thikkurissy House  N St  Jawaharnagar  695041
134,http://tradekerala.in/18309/Bachus+Air+Travels/1,0471 2325606,,Bachus Air Travels,,Vellayambalam   695010
135,http://tradekerala.in/11690/Bachus+Air+Travels/1,0471 2325606,,Bachus Air Travels,,Vellayambalam  695010
136,http://tradekerala.in/18308/Badshah+Travels/1,0471 2313260,,Badshah Travels,,No.11/46  Pmg Jn  695033
137,http://tradekerala.in/11686/Badshah+Travels/1,0471 2313260,,Badshah Travels,,No.11/46  Pmg Jn  695033
138,http://tradekerala.in/2748/Balmar+Lawrie+and+Co.+Ltd/1,0471 2315027,,Balmar Lawrie and Co. Ltd,,Travel and Tour Division of Govt. of India Enterprise  Goureesapattom  695010
139,http://tradekerala.in/17280/Balmar+Lawrie+and+Co.+Ltd./1,0471 2315027,,Balmar Lawrie and Co. Ltd.,,Travel and Tour Division of Govt. of India Enterprise  Goureesapattom  695010
140,http://tradekerala.in/18306/Best+Way+Enterprises/1,0471 2463801,,Best Way Enterprises,,East Fort  695023
141,http://tradekerala.in/11685/Best+Way+Enterprises/1,0471 2463801,,Best Way Enterprises,,East Fort  695023
142,http://tradekerala.in/18304/Beuna+Vista+Tours/1,0471 2322666,,Beuna Vista Tours,,NC Hospital Building  1st Floor  Thycaud  695014
143,http://tradekerala.in/11683/Beuna+Vista+Tours/1,0471 2322666,,Beuna Vista Tours,,NC Hospital Building  1st Floor  Thycaud  695014
144,http://tradekerala.in/18303/Bharat+Tours+%26+Travels++Kaithamukku/1,0471 2454515,,Bharat Tours & Travels  Kaithamukku,,No.Tc 28/0499  Kaithamukku  695024
145,http://tradekerala.in/11681/Bharat+Tours+%26+Travels++Kaithamukku/1,0471 2454515,,Bharat Tours & Travels  Kaithamukku,,No.Tc 28/0499  Kaithamukku  695024
146,http://tradekerala.in/18302/Bharat+Tours+%26+Travels++Pulimoodu/1,0471 2445691,,Bharat Tours & Travels  Pulimoodu,,Near AKG Centre  Pulimoodu  695001
147,http://tradekerala.in/11674/Bharat+Tours+%26+Travels++Pulimoodu/1,0471 2445691,,Bharat Tours & Travels  Pulimoodu,,Near AKG Centre  Pulimoodu  695001
148,http://tradekerala.in/18301/Bharath+Travels/1,0471 2474213,,Bharath Travels,,No.Tc 27/0587  Krishna Bhavan Convent Rd  General Hospital Junction  695001
149,http://tradekerala.in/11656/Bharath+Travels/1,0471 2474213,,Bharath Travels,,No.Tc 27/0587  Krishna Bhavan Convent Rd  General Hospital Jn  695001
150,http://tradekerala.in/18300/Bijin+Tours+%26+Travels/1,0471 2451324,,Bijin Tours & Travels,,Padmavilasom Rd  Chettikulangara  695001
151,http://tradekerala.in/11647/Bijin+Tours+%26+Travels/1,0471 2451324,,Bijin Tours & Travels,,Padmavilasom Rd  Chettikulangara  695001
152,http://tradekerala.in/18299/Bimas+Enterprises/1,0471 2452913,,Bimas Enterprises,,Pachallor  695027
153,http://tradekerala.in/11507/Bimas+Enterprises/1,0471 2452913,,Bimas Enterprises,,Pachallor  695027
154,http://tradekerala.in/18298/Binoy+Tours+%26+Travels/1,0471 2443236,,Binoy Tours & Travels,,Ayyappa Building  Chalakuzhi  Near Nirmala Hospital  Tvm Medical College  695011
155,http://tradekerala.in/11235/Binoy+Tours+%26+Travels/1,0471 2443236,,Binoy Tours & Travels,,Ayyappa Building  Chalakuzhi  Near Nirmala Hospital  Tvm Medical College  695011
156,http://tradekerala.in/18100/Bismillah+Tours+%26+Travels/1,0471 3202442,,Bismillah Tours & Travels,,Poojappura  695012
157,http://tradekerala.in/10892/Bismillah+Tours+%26+Travels/1,0471 3202442,,Bismillah Tours & Travels,,Poojappura  695012
158,http://tradekerala.in/18075/Blessy+Tours+%26+Travels/1,0470 2693972,,Blessy Tours & Travels,,Kalathoor Building  Kallambalam  695605
159,http://tradekerala.in/10770/Blessy+Tours+%26+Travels/1,0470 2693972,,Blessy Tours & Travels,,Kalathoor Building  Kallambalam  695605
160,http://tradekerala.in/18074/Blue+Bird+Travel+Services/1,0471 2302010,,Blue Bird Travel Services,,No.7  Opposite Niyamasabha  PMG Jn   695033
161,http://tradekerala.in/10293/Blue+Bird+Travel+Services/1,0471 2302010,,Blue Bird Travel Services,,No.7  Opposite Niyamasabha  PMG Jn  695033
162,http://tradekerala.in/18073/Blue+White+Tours+%26+Travels/1,0471 2474897,,Blue White Tours & Travels,,Thakaraparambu Rd  695023
163,http://tradekerala.in/10260/Blue+White+Tours+%26+Travels/1,0471 2474897,,Blue White Tours & Travels,,Thakaraparambu Rd  695023
164,http://tradekerala.in/18072/Bob+Intl+Tours+%26+Travels/1,0471 2544752,,Bob Intl Tours & Travels,,1st Floor  Mgm Building  Mg Rd  Chalakuzhi Jn  Pattom 695004
165,http://tradekerala.in/9997/Bob+Intl+Tours+%26+Travels/1,0471 2544752,,Bob Intl Tours & Travels,,1st Floor  Mgm Building  Mg Rd  Chalakuzhi Jn  Pattom  695004
166,http://tradekerala.in/9992/Boon+Air+Travels/1,0471 2445226,,Boon Air Travels,,Kannamoola  695011
167,http://tradekerala.in/18071/Boon+Air+Travels/1,0471 2445226,,Boon Air Travels,,Kannamoola  695011
168,http://tradekerala.in/4070/Butterfly+Holidays/1,0471 2490907,,Butterfly Holidays,,158 Vinayak Nagar  Pappanamcodu  695 018
169,http://tradekerala.in/17293/Butterfly+Holidays/1,0471 2490907,,Butterfly Holidays,,158 Vinayak Nagar  Pappanamcodu  695 018
170,http://tradekerala.in/22733/Ben+tours+%26+Travels+Pvt+Ltd/7,+91 484041348,,Ben tours & Travels Pvt Ltd,info@bentours.in,KPM Complex-30/1356C;2nd Floor;Vyttila-682019
171,http://tradekerala.in/24464/Budget+Tours+%26+Travels/4,+91 477 2335233,,Budget Tours & Travels,,"Alappuzha Iron Bridge-688011.,"
172,http://tradekerala.in/24465/Burlington+Tours+%26+Travels/7,+91 484 2203255,,Burlington Tours & Travels,,"Gandhi Nagar.,Ernakulam-682020.,"
173,http://tradekerala.in/24508/Broadway++Travels/7,+91 484 2360074,,Broadway  Travels,,"Ernakulam-682018.,"
174,http://tradekerala.in/4430/Careval+Travels/4,0477 2251033,,Careval Travels,,Mullakkal Rd
175,http://tradekerala.in/10177/C+World+Holidays+India+Pvt.+Ltd/7,0484 2310892  2310893,,C World Holidays India Pvt. Ltd,,G 128 1st floor  Adithya  Panampilly Nagar
176,http://tradekerala.in/8722/C+World+Holidays+India+Pvt.+Ltd./7,0484 2310892,,C World Holidays India Pvt. Ltd.,,G 128 1st floor  Adithya  Panampilly Nagar
177,http://tradekerala.in/7421/Cameo+Corporate+Services+Ltd/7,0484 2369970,,Cameo Corporate Services Ltd,,No.57/729  2nd Flr  Marayail Chambers  682016
178,http://tradekerala.in/7420/Chandini+Air+Travels/7,0484 2225710,,Chandini Air Travels,,Lakshmi Apartments B Wing Gujarati Rd 682002
179,http://tradekerala.in/4940/Charishma+Tours+%26+Travels/7,0484 2376402,,Charishma Tours & Travels,,First Floor  Kalyan Chambers Chittoor Rd 682016
180,http://tradekerala.in/4955/Charminaar+Travel+Agents/7,0484 2234271,,Charminaar Travel Agents,,Kumar Building  16 / 1158 E  Thoppumpadi 682 005
181,http://tradekerala.in/4938/City+Link+Travel/7,0484 2364216,,City Link Travel,,No.40/9475  Faraha Mansion  682035
182,http://tradekerala.in/4956/CocoKerala/7,0484 3230431,,CocoKerala,,78  2nd Floor  DD Cornerstone  Kadavanthra  682020
183,http://tradekerala.in/8723/CocoKerala/7,0484 3230431,,CocoKerala,,# 78  2nd Floor  DD Cornerstone  Kadavanthra  682020
184,http://tradekerala.in/10178/CocoKerala/7,0484 3230431  4000335,,CocoKerala,,78  2nd Floor  DD Cornerstone  Kadavanthra 682020
185,http://tradekerala.in/4937/Coraz+Travel+%26+Trade+Links+Pvt+Ltd/7,0484 2352344,,Coraz Travel & Trade Links Pvt Ltd,,2nd Floor 4191 M G Rd Ravipuram 682016
186,http://tradekerala.in/7419/Creative+Tours+%26+Travels/7,0484 2374229  2372160,,Creative Tours & Travels,,Karimpatta Rd 3954 A Bhd Oberoi Hotel 682016
187,http://tradekerala.in/4967/Creative+Travel+and+Tours/7,0484 2372160,,Creative Travel and Tours,,Karimpatta Rd  Off M.G. Rd  Ayisha Complex  Pallimukku  682016
188,http://tradekerala.in/11006/Cocoland+Holidays/2,0474 2536323,,Cocoland Holidays,,Mayyand Rd  Kottiyam P.O  691 571
